"path","size","sha256","runtime_classification"
"how to use","372","b3e13d14e9827bdc0ffa832bc91957d5164439346cc587930e332f90a9f7be18","PROJECT_METADATA"
"Implementation plan_ QLIP  MCP server (branch qlip-mcp).docx","221533","65661aeb2726922779eb33ce3934012b78a76f7d7060be678ffd7d40ba7ef7b5","DOCUMENTATION"
"LICENSE","1095","ce6cb47893a6efe466a46088de7e3fa48e6afe99be1528e2441dca9183414400","PROJECT_METADATA"
"MCP schema.docx","224992","6d7e31e014d6bb60560efb137c775cad3464b690d7024df96451ccdae0d7bc8c","DOCUMENTATION"
"MCP tool list .docx","220840","e4bf80bdf6c288dcf710efc7d3f4e0afa85452193a2cd0f5b62f9f85f53e1928","DOCUMENTATION"
"project_to_txt.py","15449","d63625a75a28de51b20110e6da3ded1e6d763c922118ea5ea9d24b384794ac85","PROJECT_METADATA"
"pyproject.toml","756","5e2acc77873637d049848909a58331573f3b385aa477642d4a70cdb60536bbee","PROJECT_METADATA"
"qlio.txt","1277806","71a531aaf2cc4ba03627f48352a6fb3a211caaeadbc59fea4adf9ab230783e6e","PROJECT_METADATA"
"QLIP MCP ARCH.docx","223065","645aecaad0232880f26220e9d971986eae167a3fbf95ae62de3603126f473ca4","DOCUMENTATION"
"README.md","1244","6d08a46ac0b9902529b39b3c1a02cc3af58c8fde062a1e2c6554227662e7be90","PROJECT_METADATA"
"requirements.txt","377","104257992fd1ffd185cd8cdede0e3424ea8c70f65142c3932a4c2dba620567bc","PROJECT_METADATA"
"scripts/build_base_data.py","23008","5594ea7570c755db5c03c017fe4aa4bb0ab614dfca295755c083e2ee07734e79","DEVELOPER_TOOL"
"scripts/diagnose_top_k_failure.py","8502","239adc5e5836be967746905c4a4b7a6f379fd4961d10b32996d52f4a6cb0a133","DEVELOPER_TOOL"
"scripts/export_scaffold_registry.py","7265","169d34a65b7b413dd87862abe8ce6d92ea006dbb931313950b8c17d1a3cb9dd8","DEVELOPER_TOOL"
"scripts/finalize_nasicon_demo.py","22635","57f97520323c215ed613ce948f51bfbedb9d8f36478c47d0bcf950708098abd6","DEVELOPER_TOOL"
"scripts/prepare_first_eight_nasicon_smoke.py","22107","406547f31a7cb8a83921cec63fecd7bc49d1f7e77d0ab0991d4855c4e6ec2bdb","DEVELOPER_TOOL"
"scripts/prepare_nasicon_demo.py","16040","3d91b8f2061ed5ccaefa19ed477fc95506f7ffedba4c0777cab9961af7b51ded","DEVELOPER_TOOL"
"scripts/prepare_six_task_engineering_smoke.py","16905","d3250c57da5d89df32e0d40612a09aac8853e825d448042d433baea21ab90cbe","DEVELOPER_TOOL"
"scripts/run_nasicon_demo_task.py","17113","361f68609667af12987ffcee0c169e23c51b9bb51be7e9e772020493d603cfb7","DEVELOPER_TOOL"
"scripts/run_nasicon_qlip_smoke.py","12211","d8186e4f96971931362230c93e9715be463ce61345ab82c621db2d12c4b295a7","DEVELOPER_TOOL"
"scripts/update_ordered_occupation_evidence.py","6711","6d12f0f6e852c42c8192e4bf5a8f560445ec3d49582eac4284c32d73818cd78c","DEVELOPER_TOOL"
"scripts/update_top_k_evidence.py","4021","6b44beee5b0affa35af57c574561c0c3f28eb5f2f6f036e8f7c3942d246909da","DEVELOPER_TOOL"
"scripts/validate_base_data.py","9049","d05b55155d6bd49f33b8906df736d11efccc2c836ce45914aa0af3f06eaffcf5","DEVELOPER_TOOL"
"skills/qlip_mcp_boundary_v5/fixtures/good.json","384","c8f9b519d650c15fad9f33154d002bfd9929643639e221664a367a5d6d981b5c","SKILL_RESOURCE"
"skills/qlip_mcp_boundary_v5/output.schema.json","982","8cb277c6cb8f717e203b8f0b90adb9979e4e1a8968337851e21d8a5c1825ea59","SKILL_RESOURCE"
"skills/qlip_mcp_boundary_v5/SKILL.md","4444","624e0a61d590032f25ae4094da2314d1ea1b7026422a68fa9d4472a8e8727c26","SKILL_RESOURCE"
"src/qlip.egg-info/dependency_links.txt","2","7eb70257593da06f682a3ddda54a9d260d4fc514f645237f5ca74b08f8da61a6","PROJECT_METADATA"
"src/qlip.egg-info/PKG-INFO","2964","70126f346c65e8e5b262e4274a36b15b526f85bdb3867312ba1d98d4e99b63a8","PROJECT_METADATA"
"src/qlip.egg-info/requires.txt","182","7b1f90b40df5b0919e3de85c9a4b8ca52d359a04efc269a2b3bfa600e6dcb035","PROJECT_METADATA"
"src/qlip.egg-info/SOURCES.txt","2867","9ac911349c84e35f528917b859c884df558f48d6bff404a725f092991b831271","PROJECT_METADATA"
"src/qlip.egg-info/top_level.txt","6","d8752fb1abce2fe32d2431a7743d7040d986d3aa09f4939b8995ad380f367567","PROJECT_METADATA"
"src/qlip/__init__.py","58","4c05c5bf50ddd4af7aeda618147e11ed4dc6f7e8c871553cd0df11aadba8ef4e","PYTHON_RUNTIME"
"src/qlip/__main__.py","4014","184f606b746a30437b22acc30aa61479101ca07ca6dfbbd92a1a5492bb8ca3e2","PYTHON_RUNTIME"
"src/qlip/allocation.py","16913","0fd0b4996ca3caaf59447884a4a3ec81691239448143fabc4054280852608567","PYTHON_RUNTIME"
"src/qlip/constraints/__init__.py","1536","f933c78cb239ae286d7178ee4527d267b3318a84536b5c9974eb6971e8796ab1","PYTHON_RUNTIME"
"src/qlip/constraints/motif_linking.py","1644","f992a4126f51b87af38a39445d8bb24a19dcca4a9d2b6f4f7c3e147f4e8be8dd","PYTHON_RUNTIME"
"src/qlip/constraints/proximity.py","1034","ffd2eea3371786238dbb75851e6e860d2a7fba42fe2edf7fe7ee817f6f788e3c","PYTHON_RUNTIME"
"src/qlip/constraints/radii.json","192","c240ddc970ccc006d92e140e8e47345a62bdc74e6e12182fdf36db1835a31644","PYTHON_RUNTIME"
"src/qlip/core/__init__.py","127","eab40c2dd74ab25e4dae170fb2745464c55496b0265a3ab31aa5b23bc35bfbee","PYTHON_RUNTIME"
"src/qlip/core/chemistry.py","2590","d7a5402ee6ede9f6101a2a5e9ba7b64194f458ce57f9d210f987e448c6deb752","PYTHON_RUNTIME"
"src/qlip/core/models.py","8413","0ec8facefade713971dbc6ffe7277dbf39dc8281a710493e23ec3e24ddfa6350","PYTHON_RUNTIME"
"src/qlip/core/objectives.py","14064","eb968de5b292b396c928d1706e60b82d5016319596c63816d4d32b111124a591","PYTHON_RUNTIME"
"src/qlip/core/paths.py","2346","b29e0a1cf75824c7a9579ecae38eb3ee1269228e01ae0a0299624f0d6065d335","PYTHON_RUNTIME"
"src/qlip/core/preflight.py","36230","bd2a0f2eb0959414927b00347dc8e6464a9fa02996297ef6da6be36bdac1f952","PYTHON_RUNTIME"
"src/qlip/core/solve.py","38934","282b254ac0acfeb4a4bacf837494c150bf99276e3640f6fbd69e840e1cf6e712","PYTHON_RUNTIME"
"src/qlip/core/validate.py","27762","cae3c84065a039b4d8275036bbbb28f3b52f308d7744553d63b99485601dd7bc","PYTHON_RUNTIME"
"src/qlip/data/__init__.py","121","249fcc6f23db8ec1610c33e5647ad1b91fd5e391c4696dfe72d580efab424533","PYTHON_RUNTIME"
"src/qlip/data/registry.py","4293","d14a52bf4172e6f450bbcf33ad66d3a52aa1618641903faeea346b0a0e02066f","PYTHON_RUNTIME"
"src/qlip/experimental/constraints/symmetry.py","2427","eecd585699f36100fef2b1afdc4f9804ab1a2382dc101f759b98e68f47691c74","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/builders.py","2452","545ec97af8c95664b6eb87c25aadce94eebcea1d248d893cf6c46247ae1f9543","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/init.py","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/modes.py","1160","0e1610c4e033a45ec5916bbd7d386c7b7e517ae724dd9e614852e7d41af80239","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/presets/generic.py","1103","fa9a83170157de0331282ae863ac22c924c3ba86878d2d32cb2dc18f423fd230","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/presets/sto.py","1536","6d35ac56f6ea27c9f17a3b7ba0a75e5b06f23b2bfca4304bb50a5ccd3abe073d","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/properties/_io.py","1010","af5d5e88693b750a203638265522ad2144f244efe29805f429547788fd1bcc5c","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/properties/_y_index.py","1137","ff703add5491a42470195653754bc7d9004285b04220ffadf0fc96fc70ec4399","PYTHON_RUNTIME"
"src/qlip/experimental/guidance/properties/band_gap.py","828","ed029b6bc3e9ab972291e2453fc3e782ed326d16bf4e21769ea3709df75a9c63","PYTHON_RUNTIME"
