source_repository,source_revision,path,size_bytes,sha256
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/meta_csv.py,5760,0c402a428197d493301d7f07682ad3eebcc9083bd0cec070fa56c5af4597402f
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/neighbors.py,4231,7dcea4dca7d71ee8169d0cdb089a5c2f7edb082c11bebdb1e8c56dd91702a18b
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/pot_compat.py,3683,f62b42871eeaa1c831db145186be79f778757b50bb91a966ddc5aa00b3b02fb3
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/pot_io.py,2892,96b2ade9376d3b736749e096792bbeccf2f32614ed6bf73c3f0e63f0a5f437f5
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/publish.py,5804,b84e0b503134c7a1b23fec8e019987ee09aa400e99e191e297085a41a441b3e7
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/qlip_outputs_index.py,8378,5b980877579bce0d40f918e3d200d8b51d9a1244cd210664586d338d219616d2
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/qlip_outputs_packages.py,7198,5b119424cbc1af0ce6a08a4203a0fbcb1eaa1585f6cf4eab23ca119c31898a8d
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/qlip_package.py,2454,4ecdf3df23216e933fe05aa855785ead841414907063495c1c9274875f1077f6
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/run_orchestrator.py,24231,784553b77ff6d64f338040db4555e24a4d17a9b0bc542902dac35e2f6606a738
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/score.py,2758,ef25ffaf81b352f57dd5b6f3ead5bf0204fe407280f2b97ed86faa5db598330d
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/spp_model.py,8555,17d8321012126be76bb674ee04ddf835441a898604c929e78000848f20b5f9eb
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/supercell_gr.py,10703,bbc5f3ed4b4c90e6d0d00197643f7fd8e21a922d1f944536aa022fb9122eed6f
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/version.py,61,0e9a9f2bdd1ac558a89434faca3e83b0d4be96fed908121b0e738123b3bdc61c
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/weights.py,2713,33efee3b3a72528638bce724dbec55780f1786ccd5b6a02b259fd893f8c7fe8f
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker/weights_csv.py,3811,76643a2d468a4d203a0bb4482f0339898431827b6dc8787164c6baae331b528a
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_mcp/__init__.py,41,95864b762458840b075d0b9b906b34234efe1ab7031d335e0cd193d67a12c18e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_mcp/contracts.py,9141,ea103867f53f5dc80f4544110870b0c846192d016b163640f8deb7f31eb6cf5f
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_mcp/server.py,92786,cb9de8c25f2e1de08c8bf90504ec0727403c6bf9b66f45e39410062641ad6754
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_qlip/__init__.py,152,0f258415f1e4e0ca054ab2d32e91e8e6bec48b43fb4e3f1a8fa0393972633dd0
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_qlip/corpus_quality.py,9172,7be6623e93b53fd1365ff7043b43e4eb41cc04240823c83aa42b2720c307dcbb
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_qlip/pot_quality.py,5271,e6fec8ec2aa4dcc94876d81c29261adc399e5f4df859e73d9f75061645fc9e0c
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_qlip/qlip_package.py,61530,e82d84f1271ee6cd42fd88e6e0e14aeb274c032130c42d95b25f51540dac7534
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,src/spp_maker_qlip/required_pair_extraction.py,15059,6ac0838706dd995a5c23597e2df79ae8ad627aa5e2c7165ba24c2ddba4331ee5
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/cifs/nacl.cif,384,ccd71a8c74f81c253c91971197aa93c04f13873377d4f18f1b82eb68cd0cb76e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/cifs/sic.cif,384,8066ae810aedc6b35e12950c8cb96fc7f4d98c23accc5a077f3e3a8a57a416df
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/lmstudio_payloads/anthropic_nested_tool_use.json,442,57b22fa783407aa483e9e05103f33ff85fcce96ca4e2266d2e879fa599ba91b9
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/lmstudio_payloads/arguments_non_object.json,55,63b17e827895a042fa808e9a4cb7f52a258408c8902cbf6db8fd2c75e56b5201
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/lmstudio_payloads/direct_arguments_string.json,93,bdf8230d8e87a7e6b749c26f68790e3c422fcecb608ca9b2e133cbf12b32242e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/lmstudio_payloads/wrapper_with_noise.json,279,84006e599a20deb6f6f8f9ae0e261d438bdeaecce18654696cded2ae75ef147b
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/fixtures/lmstudio_payloads/wrong_wrapper_shape.json,104,5937f84c1b77fcf721a2756301b2fb791bcd2c2be58e38560827d994c70ca966
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/conftest.py,1106,82c8c286f6d875799f89a37a9feb28252b379b20c28c32761abb9ade4aa9118e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/snapshots/tool_schemas.json,40926,9715e6bad8468c46e32b0705a2158f7c93da284c59c782e972553ce5163a74ab
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_check_compat.py,1210,d56653e48d587f937abdfce71ea2bcd7fff3ab2df5b411bc44c23c7aac19ffc1
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_lenient_calls.py,2742,89bd3f7be5f6058ef4984a0c237d8d2e4a8c8d179aa7e260cb5a864e323bdc77
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_package_for_qlip.py,2077,03f101b0a402166155b66845d529efb7b5112a91d742b39c7576680894bbeb50
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_publish_to_qlip_outputs.py,1839,8b4631d1ae7d489dc36cde5af5766d9f4ff6f1af67c35a7cf5395d4ddddfd671
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_run_pipeline_dry_run.py,1944,4b6de8a7d33ca948f30217b62050f44fb76a9726e79c90df1de6cb7e20285bd6
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/mcp/test_server_schema.py,671,bc2b311bd9cb20d56f666b3aeb12d7e1a04db9e415b1c109e38a8daacecd93ba
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/spp_maker_qlip/test_corpus_quality.py,5146,644c51a19be6514bc1508772bdebc935f68bfa467729748b1fddff48258c7d8b
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/spp_maker_qlip/test_pair_extraction_diagnostics.py,2540,5d7c170ff0bc6ffaad1293030572afdf4f699c0d3974eda0129cf5d3ed7e8f04
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/spp_maker_qlip/test_qlip_package_pot_handoff.py,14345,e623f7c1add54937a81915005768053a811eeaa0ee0492c42ad24cda5a4f2692
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/spp_mcp/test_runtime_diagnostics.py,3595,bbdf7d1cc1162202710b644edc5c2637adf31177350d5b4da1a65f1499f34916
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/spp_mcp/test_unified_qlip_output.py,19851,3f5211168511c22ff750e13f3adf23fb062959988bb8b4dec3d92a49d26fcead
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_calibrate_outputs_explain_sign.py,2221,6264c5430d34e533f1577acb925bda824343a8298342c19633a1b2224e735a29
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_calibration_stats_and_lambda.py,2722,ad604e6634e05f27eeef933aa2876e82d2268d241cdd75642101b447845e8171
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_check_pot_compat.py,1189,11d1529a7a1198df8900c6a2da01b0a5c6869c152a2103dc82123afabb6585ef
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_cli_calibrate_no_bandpass.py,1605,07cf6043c6aa24db235112464f7fb929870d9cda7055c5b46a29061e922a300e
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_cli_calibrate_smoke.py,2789,a096fec601d3c59e82c3c52fd71fac934941687ed4516745b8783f5625cb5e16
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_cli_calibrate_supercell_method.py,1802,5c2b531812ade2a7a86650042b5ba1e83efa796cecbf55c107eeef9dd9fb6321
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_cli_fit_smoke.py,4610,59e321264883e71c3671a71741a7c023e6c700f9e5fd0864770fe41dacd831ae
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_cli_help.py,1028,4e7712293e03361e3e3dfc8f8abed03805d81b9f03344cf868414d8f6292113c
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_common_contract.py,2582,a9ae19a4c0b92fa59252389f84ad684091bd297fec7c01581619c081cd320b91
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_covalent_exclusion_explain.py,1322,6f86caeae30759a59d866b1636fac00dd1871cc9804cff7a99a652692ce979a2
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_covalent_filter.py,1273,967d532d58d668bf5f0f082982b09f4f7a0a199c65aa3afa486fdf85e97314b1
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_demo_script_smoke.py,1978,96470ac2405c8a580871096260fba9872a5bf19eb202fc520d35ef924e827cfc
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_export.py,2192,b62d89943bf642ed2a58eecce9cf6f0e064f176619bc2374c9ced4006ca5f9fe
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_export_short_distance_floor.py,1658,7ba1aceb3b6b282d102f9dfa45ccd1034a7cf1f536f0651924ef23b26dc40c6a
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_fit_hist.py,2339,4a8c31de743142a4eb25a90e1714b116c0d1916b2fd6145b0afee7df65958065
SPP-Maker-QLIP,3a2d557811973265f3373ec881cc8057a89789d2,tests/test_fit_phi.py,2488,933d55d055537fdfef67fa294982ee09aa43104819d257b4bb7c353372ab8aae
